split,w_conf,level,budget,method,accuracy
ID,1.1,L2,0.3,fast,0.6413333333333333
ID,1.1,L2,0.3,confidence,0.8088333333333333
ID,1.1,L2,0.3,intuition,0.8181666666666667
ID,1.1,L2,0.3,random,0.7551666666666667
ID,1.1,L2,0.3,oracle,0.9413333333333334
OOD,1.1,L2,0.3,fast,0.6456666666666667
OOD,1.1,L2,0.3,confidence,0.8045
OOD,1.1,L2,0.3,intuition,0.814
OOD,1.1,L2,0.3,random,0.7543333333333333
OOD,1.1,L2,0.3,oracle,0.9456666666666667
ID,1.1,L2,0.4,fast,0.6413333333333333
ID,1.1,L2,0.4,confidence,0.8533333333333334
ID,1.1,L2,0.4,intuition,0.8601666666666666
ID,1.1,L2,0.4,random,0.7918333333333333
ID,1.1,L2,0.4,oracle,1.0
OOD,1.1,L2,0.4,fast,0.6456666666666667
OOD,1.1,L2,0.4,confidence,0.8533333333333334
OOD,1.1,L2,0.4,intuition,0.8596666666666667
OOD,1.1,L2,0.4,random,0.785
OOD,1.1,L2,0.4,oracle,1.0
ID,1.1,L3,0.1,fast,0.6413333333333333
ID,1.1,L3,0.1,confidence,0.7006666666666667
ID,1.1,L3,0.1,intuition,0.7166666666666667
ID,1.1,L3,0.1,random,0.674
ID,1.1,L3,0.1,oracle,0.7413333333333333
OOD,1.1,L3,0.1,fast,0.6456666666666667
OOD,1.1,L3,0.1,confidence,0.7043333333333334
OOD,1.1,L3,0.1,intuition,0.7203333333333334
OOD,1.1,L3,0.1,random,0.682
OOD,1.1,L3,0.1,oracle,0.7456666666666667
ID,1.1,L3,0.2,fast,0.6413333333333333
ID,1.1,L3,0.2,confidence,0.7576666666666667
ID,1.1,L3,0.2,intuition,0.7775
ID,1.1,L3,0.2,random,0.7133333333333334
ID,1.1,L3,0.2,oracle,0.8413333333333334
OOD,1.1,L3,0.2,fast,0.6456666666666667
OOD,1.1,L3,0.2,confidence,0.7553333333333333
OOD,1.1,L3,0.2,intuition,0.7806666666666666
OOD,1.1,L3,0.2,random,0.714
OOD,1.1,L3,0.2,oracle,0.8456666666666667
