generator,seed,w_conf,level,delta_auc
linear,14,0.4,a045,0.05362340638352969
linear,14,0.4,a070,0.10355439756247764
linear,14,0.4,a100,0.1375341897759318
linear,14,0.4,a150,0.17014719691265023
linear,14,0.4,a200,0.18904945138266238
linear,14,0.4,a300,0.19909878732697728
linear,14,0.6,L0_null,-0.00038770053475933874
linear,14,0.6,L1_redundant,0.0
linear,14,0.6,a025,0.019117151911269614
linear,14,0.6,a045,0.053495246583481926
linear,14,0.6,a070,0.07822440087145976
linear,14,0.6,a100,0.10831946920182212
linear,14,0.6,a150,0.13861148247177668
linear,14,0.6,a200,0.1578292731233909
linear,14,0.6,a300,0.16526552287581708
linear,14,0.8,L0_null,-0.0010353578387596318
linear,14,0.8,L1_redundant,0.0
linear,14,0.8,a025,0.0163784439672382
linear,14,0.8,a045,0.03984034974530215
linear,14,0.8,a070,0.06689983353314999
linear,14,0.8,a100,0.0939033452790331
linear,14,0.8,a150,0.12110338385976205
linear,14,0.8,a200,0.13610314148083025
linear,14,0.8,a300,0.15038350843753534
linear,14,1.0,L0_null,0.000578686349363644
linear,14,1.0,L1_redundant,0.0
linear,14,1.0,a025,0.0095089259107064
linear,14,1.0,a045,0.029362936845770404
linear,14,1.0,a070,0.05182731005580443
linear,14,1.0,a100,0.07324347299641454
linear,14,1.0,a150,0.09227111179424763
linear,14,1.0,a200,0.1087804862747066
linear,14,1.0,a300,0.11955255951391353
linear,14,1.2,L0_null,-0.0016933767934275146
linear,14,1.2,L1_redundant,0.0
linear,14,1.2,a025,0.008914741834266104
linear,14,1.2,a045,0.021076765083952842
linear,14,1.2,a070,0.04187708085493702
linear,14,1.2,a100,0.054308567333870905
linear,14,1.2,a150,0.07884469137478145
linear,14,1.2,a200,0.09152418382581895
linear,14,1.2,a300,0.10356108132599862
linear,14,1.4,L0_null,0.001127195866180597
linear,14,1.4,L1_redundant,0.0
linear,14,1.4,a025,0.007350058162505446
linear,14,1.4,a045,0.022650953359328985
linear,14,1.4,a070,0.036985895279447734
linear,14,1.4,a100,0.06312835160498953
linear,14,1.4,a150,0.08213945380825449
linear,14,1.4,a200,0.09072987810160371
linear,14,1.4,a300,0.10119612456941462
linear,14,1.6,L0_null,0.0001658152706182081
linear,14,1.6,L1_redundant,0.0
linear,14,1.6,a025,0.00452429944599575
linear,14,1.6,a045,0.017896754923168112
linear,14,1.6,a070,0.03349828394847354
linear,14,1.6,a100,0.05063695528411438
linear,14,1.6,a150,0.06925170522264734
linear,14,1.6,a200,0.07219579506870832
linear,14,1.6,a300,0.08694305275594039
linear,14,1.8,L0_null,-0.0006556639979576895
linear,14,1.8,L1_redundant,0.0
linear,14,1.8,a025,0.0037010507253124603
