generator,seed,w_conf,level,learner,budget,gain_vs_B1_pp,gain_vs_B3_pp,acc_B1,acc_B3
linear,1,0.0,a200,gbm,0.3,7.033333333333324,7.31666666666666,0.7708333333333334,0.7668333333333334
linear,1,0.0,a200,gbm,0.4,7.599999999999996,7.916666666666671,0.802,0.7995
linear,1,0.0,a200,mlp,0.05,2.199999999999991,2.283333333333337,0.6871666666666667,0.6843333333333333
linear,1,0.0,a200,mlp,0.1,3.6499999999999977,3.516666666666668,0.7058333333333333,0.7025
linear,1,0.0,a200,mlp,0.15,4.416666666666669,4.583333333333329,0.7235,0.7216666666666667
linear,1,0.0,a200,mlp,0.2,5.35,5.416666666666659,0.7403333333333333,0.7386666666666667
linear,1,0.0,a200,mlp,0.25,6.266666666666676,6.516666666666671,0.7565,0.752
linear,1,0.0,a200,mlp,0.3,7.0666666666666655,7.050000000000001,0.7708333333333334,0.7668333333333334
linear,1,0.0,a200,mlp,0.4,7.849999999999991,7.783333333333331,0.802,0.7995
linear,1,0.0,a300,logreg,0.05,2.299999999999991,2.5833333333333264,0.6871666666666667,0.6843333333333333
linear,1,0.0,a300,logreg,0.1,3.7833333333333385,4.100000000000003,0.7058333333333333,0.7025
linear,1,0.0,a300,logreg,0.15,5.083333333333329,5.249999999999999,0.7235,0.7216666666666667
linear,1,0.0,a300,logreg,0.2,6.05,6.166666666666664,0.7403333333333333,0.7386666666666667
linear,1,0.0,a300,logreg,0.25,6.866666666666676,7.2833333333333306,0.7565,0.752
linear,1,0.0,a300,logreg,0.3,7.61666666666666,7.966666666666667,0.7708333333333334,0.7668333333333334
linear,1,0.0,a300,logreg,0.4,8.283333333333331,8.48333333333333,0.802,0.7995
linear,1,0.0,a300,gbm,0.05,2.2499999999999964,2.533333333333332,0.6871666666666667,0.6843333333333333
linear,1,0.0,a300,gbm,0.1,3.7666666666666737,4.133333333333333,0.7058333333333333,0.7025
linear,1,0.0,a300,gbm,0.15,4.749999999999998,5.183333333333328,0.7235,0.7216666666666667
linear,1,0.0,a300,gbm,0.2,6.033333333333335,6.199999999999994,0.7403333333333333,0.7386666666666667
linear,1,0.0,a300,gbm,0.25,6.883333333333342,7.333333333333336,0.7565,0.752
linear,1,0.0,a300,gbm,0.3,7.699999999999996,8.083333333333332,0.7708333333333334,0.7668333333333334
linear,1,0.0,a300,gbm,0.4,8.249999999999991,8.48333333333333,0.802,0.7995
linear,1,0.0,a300,mlp,0.05,2.2666666666666613,2.4833333333333263,0.6871666666666667,0.6843333333333333
linear,1,0.0,a300,mlp,0.1,3.7666666666666737,4.066666666666663,0.7058333333333333,0.7025
linear,1,0.0,a300,mlp,0.15,4.999999999999993,5.249999999999999,0.7235,0.7216666666666667
linear,1,0.0,a300,mlp,0.2,5.933333333333335,6.166666666666664,0.7403333333333333,0.7386666666666667
linear,1,0.0,a300,mlp,0.25,6.983333333333341,7.199999999999996,0.7565,0.752
